"A new passkey was added to your %store_name account","A new passkey was added to your %store_name account"
"A passkey was removed from your %store_name account","A passkey was removed from your %store_name account"
"A total of %1 passkey(s) have been revoked.","A total of %1 passkey(s) have been revoked."
"Actions","Actions"
"Add a Passkey","Add a Passkey"
"Authentication failed.","Authentication failed."
"Authentication succeeded but token creation failed.","Authentication succeeded but token creation failed."
"Cancel","Cancel"
"Challenge does not belong to this customer.","Challenge does not belong to this customer."
"Challenge has expired.","Challenge has expired."
"Challenge type mismatch.","Challenge type mismatch."
"Could not delete passkey credential: %1","Could not delete passkey credential: %1"
"Could not determine admin domain from base URL.","Could not determine admin domain from base URL."
"Could not save passkey credential: %1","Could not save passkey credential: %1"
"Created","Created"
"Credential ID cannot be empty.","Credential ID cannot be empty."
"Customer Email","Customer Email"
"Customer Passkeys","Customer Passkeys"
"Delete","Delete"
"Delete ""%1""? You will no longer be able to sign in with it.","Delete ""%1""? You will no longer be able to sign in with it."
"Failed to decode authentication options.","Failed to decode authentication options."
"Failed to decode registration options.","Failed to decode registration options."
"Failed to delete passkey.","Failed to delete passkey."
"Failed to rename passkey.","Failed to rename passkey."
"First Name","First Name"
"Give this passkey a name so you can recognize it later:","Give this passkey a name so you can recognize it later:"
"Hi %name,","Hi %name,"
"ID","ID"
"Invalid assertion response.","Invalid assertion response."
"Invalid attestation response.","Invalid attestation response."
"Invalid customer ID for passkey credential.","Invalid customer ID for passkey credential."
"Invalid or expired challenge token.","Invalid or expired challenge token."
"Invalid passkey name.","Invalid passkey name."
"Invalid security token.","Invalid security token."
"Last Name","Last Name"
"Last Used","Last Used"
"Login successful.","Login successful."
"Maximum number of passkeys (%1) reached.","Maximum number of passkeys (%1) reached."
"Missing challenge token or credential data.","Missing challenge token or credential data."
"My Passkeys","My Passkeys"
"Name","Name"
"Never","Never"
"No passkey provider configured for this user.","No passkey provider configured for this user."
"No passkey specified.","No passkey specified."
"No passkeys were revoked.","No passkeys were revoked."
"Not now","Not now"
"Passkey","Passkey"
"Passkey Authentication","Passkey Authentication"
"Passkey Configuration","Passkey Configuration"
"Passkey Name","Passkey Name"
"Passkey authentication is not enabled.","Passkey authentication is not enabled."
"Passkey credential does not exist.","Passkey credential does not exist."
"Passkey credential not found.","Passkey credential not found."
"Passkey credential with ID ""%1"" does not exist.","Passkey credential with ID ""%1"" does not exist."
"Passkey deleted.","Passkey deleted."
"Passkey is not configured for this user.","Passkey is not configured for this user."
"Passkey name","Passkey name"
"Passkey name cannot be empty.","Passkey name cannot be empty."
"Passkey name contains invalid characters.","Passkey name contains invalid characters."
"Passkey name must be 255 characters or fewer.","Passkey name must be 255 characters or fewer."
"Passkey registered successfully.","Passkey registered successfully."
"Passkey registration failed. Please try again.","Passkey registration failed. Please try again."
